Date Executed,Period Date For Workload,Period Type,Client,DB,System ID,OS,SAP Release,Hostname,,,,,,,,,,,
FB60,10,596,122296,1721,0.424,0.009,0.006,0.038,0.15975,0.63675,T,Enter Incoming Invoices,FI,Financial Accounting,Application Components->Financial Accounting->FB60(Enter Incoming Invoices),SAP->FI->FB60(Enter Incoming Invoices),,,
V-01,8,42,43,12932,0.339,0.001,0,0.288,0,0.628,T,Create Sales Orders,SD,Sales,Application Components->Sales and Distribution->Sales->V-01(Create Sales Orders),SAP->SD->SD-SLS->V-01(Create Sales Order,,,
VA03,5,404,118498,12932,0.212,0.006,0.005,0.288,0.06045,0.57145,T,Display Sales Orders,SD,Sales,Application Components->Sales and Distribution->Sales->VA03(Display Sales Orders),SAP->SD->SD-SLS->VA03(Display Sales Orde,,,
sap.ovp.cards.charts.analytical,1,8,4294999,153943,0.042,0.003,0.499,0.001,0.0204,0.5654,F,FIORI LANDING PAGE,FIO,UI5,Application Components->Fiori UI for General Ledger Accounting->sap.ovp.cards.charts.analytical(FIORI LANDING PAGE),FIO,,,
fin.gl.glaccount.ovp,1,48,584,16554024,0.042,0.02,0,0.159,0.34275,0.56375,F,General Ledger Accountant Overview page,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.glaccount.ovp(General Ledger Accountant Overview page),FI-FIO-GL,,,
SBWP,5,1793,458861,5,0.212,0.028,0.021,0,0.27945,0.54045,T,SAP Business Workplace,BC,Communication Services: Mail  Fax  SMS,Application Components->Basis Components->Basis Services / Communication Interfaces->Communication Services: Mail  Fax  SMS ->SBWP(SAP Business Workplace),SAP->BC->BC-SRV->BC-SRV-COM->SBWP(SAP Bu,,,
SE16,8,1796,329933,60,0.339,0.028,0.015,0.001,0.1353,0.5183,T,Data Browser,BC,Workbench Utilities,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->SE16(Data Browser),SAP->BC->BC-DWB->BC-DWB-UTL->SE16(Data B,,,
ui.s2p.mm.purorder.ops1,2,55,2640,4491683,0.085,0.023,0,0.043,0.31065,0.46165,F,Purchase Order Object Page,MM,Materials Management,Application Components->Materials Management->Purchasing->Purchase Orders->ui.s2p.mm.purorder.ops1(Purchase Order Object Page),MM-PUR-PO,,,
VA21,2,36,11434,12932,0.085,0.001,0.001,0.288,0.0744,0.4494,T,Create Sales Quotations,SD,Sales,Application Components->Sales and Distribution->Sales->VA21(Create Sales Quotations),SAP->SD->SD-SLS->VA21(Create Sales Quota,,,
SE80,6,3914,859515,4,0.255,0.061,0.039,0,0.0693,0.4243,T,Object Navigator,BC,Repository Browser,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Utilities->Repository Browser->SE80(Object Navigator),SAP->BC->BC-DWB->BC-DWB-UTL->BC-DWB-UTL-,,,
VA11,1,12,3964,12932,0.042,0,0,0.288,0.0693,0.3993,T,Create Sales Inquiries,SD,Sales,Application Components->Sales and Distribution->Sales->VA11(Create Sales Inquiries),SAP->SD->SD-SLS->VA11(Create Sales Inqui,,,
VA51,1,1,418,12932,0.042,0,0,0.288,0.0693,0.3993,T,Create Item Proposal,SD,Sales,Application Components->Sales and Distribution->Sales->VA51(Create Item Proposal),SAP->SD->SD-SLS->VA51(Create Item Propos,,,
VA31,1,1,413,12932,0.042,0,0,0.288,0.0693,0.3993,T,Create Sales Scheduling Agreements,SD,Sales,Application Components->Sales and Distribution->Sales->VA31(Create Sales Scheduling Agreements),SAP->SD->SD-SLS->VA31(Create Sales Sched,,,
ME23,3,272,152261,9567,0.127,0.004,0.007,0.213,0.04485,0.39585,T,Display Purchase Order,MM,Purchasing,Application Components->Materials Management->Purchasing->ME23(Display Purchase Order),SAP->MM->MM-PUR->ME23(Display Purchase O,,,
ssuite.smartbusiness.tiles.dual,4,70,123,4363148,0.17,0.029,0,0.042,0.14115,0.38215,F,FIORI LANDING PAGE,FIO,UI5,Application Components->General Application Functions->ssuite.smartbusiness.tiles.dual(FIORI LANDING PAGE),FIO,,,
ME21N,4,232,1895,4982745,0.17,0.096,0,0.048,0.06585,0.37985,W,Create Purchase Order,MM,Materials Management,Application Components->Materials Management->Purchasing->ME21N(Create Purchase Order),MM-PUR,,,
BP,4,207,64817,368,0.17,0.003,0.003,0.008,0.1863,0.3703,T,Maintain Business Partner,AP,Dialog SAP-GUI,Application Components->Application Platform->Master Data->SAP Business Partner->Dialog SAP-GUI->BP(Maintain Business Partner),SAP->AP->AP-MD->AP-MD-BP->AP-MD-BP-UI->B,,,
ZJUNK999,1,1189,6094374,184,0.042,0.018,0.278,0.004,0,0.342,R,Test LRAW,CA,Cross-Application Components,Application Components->Cross-Application Components->ZJUNK999(Test LRAW),SAP->CA->ZJUNK999(Test LRAW),,,
VA23,1,5,3294,12932,0.042,0,0,0.288,0.00495,0.33495,T,Display Quotations,SD,Sales,Application Components->Sales and Distribution->Sales->VA23(Display Quotations),SAP->SD->SD-SLS->VA23(Display Quotations,,,
SE93,1,2832,79874,128,0.042,0.044,0.004,0.003,0.23385,0.32685,T,Maintain Transaction Codes,BC,Workbench Tools: Editors  Painters  Mode,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Mode->SE93(Maintain Transaction Codes),SAP->BC->BC-DWB->BC-DWB-TOO->SE93(Mainta,,,
MIGO,5,186,86771,1179,0.212,0.003,0.004,0.026,0.0798,0.3248,T,Goods Movement,MM,Inventory Management,Application Components->Materials Management->Inventory Management->MIGO(Goods Movement),SAP->MM->MM-IM->MIGO(Goods Movement),,,
ME23N,5,641,196264,194,0.212,0.01,0.009,0.004,0.08595,0.32095,T,Display Purchase Order,MM,Purchasing,Application Components->Materials Management->Purchasing->ME23N(Display Purchase Order),SAP->MM->MM-PUR->ME23N(Display Purchase,,,
VL01N,4,117,39856,1632,0.17,0.002,0.002,0.036,0.11025,0.32025,T,Create Outbound Dlv. with Order Ref.,LE,Shipping,Application Components->Logistics Execution->Shipping->VL01N(Create Outbound Dlv. with Order Ref.),SAP->LE->LE-SHP->VL01N(Create Outbound D,,,
MM01,5,342,61257,4,0.212,0.005,0.003,0,0.0945,0.3145,T,Create Material &,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM01(Create Material &),SAP->LO->LO-MD->LO-MD-MM->MM01(Create Ma,,,
MEM1,2,5,5,9567,0.085,0,0,0.213,0,0.298,T,Replacement for Purchase Order Item,IS,Manufacturer Part Number,Application Components->Aerospace & Defence Industry Solution->Manufacturer Part Number->MEM1(Replacement for Purchase Order Item),SAP->IS-AD->IS-AD-MPN->MEM1(Replacement,,,
SU01,5,112,46688,4,0.212,0.002,0.002,0,0.07935,0.29535,T,User Maintenance,BC,User and Authorization Management,Application Components->Basis Components->Security->User Administration->User and Authorization Management->SU01(User Maintenance),SAP->BC->BC-SEC->BC-SEC-USR->BC-SEC-USR-,,,
ssuite.smartbusiness.tiles.blank,5,16,4,3797763,0.212,0.007,0,0.036,0.03195,0.28695,F,FIORI LANDING PAGE,FIO,UI5,Application Components->Sales->ssuite.smartbusiness.tiles.blank(FIORI LANDING PAGE),FIO,,,
ME21,1,3,4504,9567,0.042,0,0,0.213,0.02475,0.27975,T,Create Purchase Order,MM,Purchasing,Application Components->Materials Management->Purchasing->ME21(Create Purchase Order),SAP->MM->MM-PUR->ME21(Create Purchase Or,,,
ZUIPATH_PROCESS_MININGPERFDATA,1,886,4624372,184,0.042,0.014,0.211,0.004,0,0.271,R,Display Single Record Statistics (Kernel,CA,Cross-Application Components,Application Components->Cross-Application Components->ZUIPATH_PROCESS_MININGPERFDATA(Display Single Record Statistics (Kernel Release 7.0)),SAP->CA->ZUIPATH_PROCESS_MININGPERFDATA(,,,
cus.sd.ovp.isr,2,4,1072,2890958,0.085,0.002,0,0.028,0.1509,0.2659,F,Sales Overview Page for Internal Sales R,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->cus.sd.ovp.isr(Sales Overview Page for Internal Sales R),SD-SLS,,,
MAINMENU,6,22,5427,184,0.255,0,0,0.004,0,0.259,R,Include MAINMENU,LE,Mobile data entry,Application Components->Logistics Execution->Mobile data entry->MAINMENU(Include MAINMENU),SAP->LE->LE-MOB->MAINMENU(Include MAINME,,,
SALV_DEMO_TREE_LAYOUT,4,2441,984939,184,0.17,0.038,0.045,0.004,0,0.257,R,Demonstration Program for ALV OM Tree: S,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->SALV_DEMO_TREE_LAYOUT(Demonstration Program for ALV OM Tree: Settings),SAP->BC->BC-SRV->BC-SRV-ALV->SALV_DEMO_T,,,
F.01,5,1758,225285,5,0.212,0.027,0.01,0,0.00495,0.25395,T,ABAP Report: Financial Statements,FI,Financial Accounting,Application Components->Financial Accounting->F.01(ABAP Report: Financial Statements),SAP->FI->F.01(ABAP Report: Financial Sta,,,
PFCG,2,757,73306,328,0.085,0.012,0.003,0.007,0.14385,0.25085,T,Role Maintenance,BC,ABAP Authorization and Role Management,Application Components->Basis Components->Security->Authorization Management->ABAP Authorization and Role Management->PFCG(Role Maintenance),SAP->BC->BC-SEC->BC-SEC-AUT->BC-SEC-AUT-,,,
ssuite.smartbusiness.runtime.s1,4,7,29,2220632,0.17,0.003,0,0.021,0.0486,0.2426,F,UI code for Smart Business runtime,CA,Cross-Application Components,Application Components->Cross-Application Components->General Application Functions->General Application Functions->General Application Functions->General Application Functions->ssuite.smartbusiness.r,CA-GTF-SB-S4H-RT,,,
MDG_BS_MAT_OVP,1,224,207,5870030,0.042,0.093,0,0.056,0.0501,0.2411,W,MDG-M: UI with CBA,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Applications->MDG Material->MDG_BS_MAT_OVP(MDG-M: UI with CBA),CA-MDG-APP-MM,,,
SPRO,4,141,36794,71,0.17,0.002,0.002,0.002,0.0645,0.2405,T,Customizing - Edit Project,BC,Customizing Project Management (IMG),Application Components->Basis Components->Customizing (Use Subcomponents)->Customizing Tools (Techniques): Use Subcomponents->Customizing Project Management (IMG)->SPRO(Customizing - Edit Project),SAP->BC->BC-CUS->BC-CUS-TOL->BC-CUS-TOL-,,,
FB70,3,104,23581,1721,0.127,0.002,0.001,0.038,0.06945,0.23745,T,Enter Outgoing Invoices,FI,Financial Accounting,Application Components->Financial Accounting->FB70(Enter Outgoing Invoices),SAP->FI->FB70(Enter Outgoing Invoices),,,
ui.ssuite.s2p.mm.pur.po.manage.st.s1,2,32,82,1754511,0.085,0.013,0,0.017,0.12,0.235,F,Manage Purchase Orders - Smart Template,MM,Materials Management,Application Components->Materials Management->Materials Management->Materials Management->Materials Management->ui.ssuite.s2p.mm.pur.po.manage.st.s1(Manage Purchase Orders - Smart Template),MM-FIO-PUR-PO,,,
VL02N,3,48,30260,1632,0.127,0.001,0.001,0.036,0.06975,0.23475,T,Change Outbound Delivery,LE,Shipping,Application Components->Logistics Execution->Shipping->VL02N(Change Outbound Delivery),SAP->LE->LE-SHP->VL02N(Change Outbound D,,,
MM03,5,140,39467,4,0.212,0.002,0.002,0,0.015,0.231,T,Display Material &,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM03(Display Material &),SAP->LO->LO-MD->LO-MD-MM->MM03(Display M,,,
mdm.cmd.cmpmonprocs1,3,14,39,1609279,0.127,0.006,0,0.015,0.0804,0.2284,F,MD CMP Monitor Process,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Consolidation & Mass Processing->Consolidation & Mass Processing->mdm.cmd.cmpmonprocs1(MD CMP Monitor Process),CA-MDG-CMP-FIO,,,
RFCASH20,2,7890,218595,184,0.085,0.122,0.01,0.004,0,0.221,R,Cash Journal,FI,Payment Transactions,Application Components->Financial Accounting->Bank Accounting->Payment Transactions->RFCASH20(Cash Journal),SAP->FI->FI-BL->FI-BL-PT->RFCASH20(Cash,,,
/BSNAGT/FILE_MONI,3,494,30641,158,0.127,0.008,0.001,0.004,0.0795,0.2195,T,Connector Monitor,LO,Connector for SAP Multi-Bank Connectivit,Application Components->LOD Components->SAP Multi-Bank Connectivity->Connector for SAP Multi-Bank Connectivit->/BSNAGT/FILE_MONI(Connector Monitor),SAP->LOD->LOD-FSN->LOD-FSN-AGT->/BSNAGT/,,,
SU3,5,28,13729,4,0.212,0,0.001,0,0,0.213,T,Maintain Users Own Data,BC,User and Authorization Management,Application Components->Basis Components->Security->User Administration->User and Authorization Management->SU3(Maintain Users Own Data),SAP->BC->BC-SEC->BC-SEC-USR->BC-SEC-USR-,,,
FB01,2,308,59017,1721,0.085,0.005,0.003,0.038,0.0801,0.2111,T,Post Document,FI,Financial Accounting,Application Components->Financial Accounting->FB01(Post Document),SAP->FI->FB01(Post Document),,,
fin.cash.brm.bankaccount.manage,3,17,32,2237838,0.127,0.007,0,0.022,0.0537,0.2097,F,Manage Bank Accounts,FIN,Financials,Application Components->Financials->Fiori UI for Financials->Fiori UI for Cash and Liquidity Management->fin.cash.brm.bankaccount.manage(Manage Bank Accounts),FIN-FIO-CLM,,,
ME51N,3,54,22690,44,0.127,0.001,0.001,0.001,0.07425,0.20425,T,Create Purchase Requisition,MM,Purchasing,Application Components->Materials Management->Purchasing->ME51N(Create Purchase Requisition),SAP->MM->MM-PUR->ME51N(Create Purchase R,,,
SWO1,2,2231,36888,23,0.085,0.035,0.002,0.001,0.0795,0.2025,T,Business Object Builder,BC,Business Object Builder,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->Workbench Tools: Editors  Painters  Modelers->Business Object Builder->SWO1(Business Object Builder),SAP->BC->BC-DWB->BC-DWB-TOO->BC-DWB-TOO-,,,
sap.se.mi.plm.lib.attachmentservice.atta,3,31,33,1792548,0.127,0.013,0,0.017,0.04275,0.19975,F,FIORI LANDING PAGE,FIO,UI5,Application Components->Materials Management->sap.se.mi.plm.lib.attachmentservice.attachment(FIORI LANDING PAGE),FIO,,,
FBL1N,4,343,38112,52,0.17,0.005,0.002,0.001,0.0201,0.1981,T,Vendor Line Items,FI,Information System,Application Components->Financial Accounting->General Ledger Accounting->Information System->FBL1N(Vendor Line Items),SAP->FI->FI-GL->FI-GL-IS->FBL1N(Vendor L,,,
ABAD,3,10,11,1721,0.127,0,0,0.038,0.02475,0.18975,T,Asset Retire. frm Sale w/ Customer,FI,Basic Functions,Application Components->Financial Accounting->Asset Accounting->Basic Functions->ABAD(Asset Retire. frm Sale w/ Customer),SAP->FI->FI-AA->FI-AA-AA->ABAD(Asset Ret,,,
BALVBT01,1,8823,126878,184,0.042,0.137,0.006,0.004,0,0.189,R,Testprogram  ALV: Block list,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BALVBT01(Testprogram  ALV: Block list),SAP->BC->BC-SRV->BC-SRV-ALV->BALVBT01(Te,,,
FB03,4,41,16423,539,0.17,0.001,0.001,0.012,0.00495,0.18895,T,Display Document,FI,Financial Accounting,Application Components->Financial Accounting->FB03(Display Document),SAP->FI->FB03(Display Document),,,
fin.gl.documentpost,1,196,6399,1599041,0.042,0.081,0.001,0.015,0.04905,0.18805,F,Post G/L Document,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for General Ledger Accounting->fin.gl.documentpost(Post G/L Document),FI-FIO-GL,,,
SBWP,4,21,13,391895,0.17,0.009,0,0.004,0.00435,0.18735,W,SAP Business Workplace,BC,Basis Components,Application Components->Basis Components->Basis Services / Communication Interfaces->Communication Services: Mail, Fax, SMS, Telephony->SBWP(SAP Business Workplace),BC-SRV-COM
FB02,2,357,40100,539,0.085,0.006,0.002,0.012,0.07965,0.18465,T,Change Document,FI,Financial Accounting,Application Components->Financial Accounting->FB02(Change Document),SAP->FI->FB02(Change Document),,,
VF01,2,66,9367,1153,0.085,0.001,0,0.026,0.06945,0.18145,T,Create Billing Documents,SD,Billing,Application Components->Sales and Distribution->Billing->VF01(Create Billing Documents),SAP->SD->SD-BIL->VF01(Create Billing Doc,,,
fin.ap.manager.ovp,1,3,75,2552132,0.042,0.001,0,0.025,0.1089,0.1769,F,F2917 - Accounts Payable Overview,FI,Financial Accounting,Application Components->Financial Accounting->Fiori UI for Financial Accounting->Fiori UI for Accounts Payable->fin.ap.manager.ovp(F2917 - Accounts Payable Overview),FI-FIO-AP,,,
SMEN,4,67,49137,127,0.17,0.001,0.002,0.003,0,0.176,T,Session Manager Menu Tree Display,BC,User Administration,Application Components->Basis Components->Security->User Administration->SMEN(Session Manager Menu Tree Display),SAP->BC->BC-SEC->BC-SEC-USR->SMEN(Sessio,,,
GUIBIBS,1,8060,177563,14,0.042,0.125,0.008,0,0,0.175,T,BIBS for GUI Tests,BC,ABAP Syntax  Compiler  Runtime,Application Components->Basis Components->ABAP Runtime Environment - ABAP Language Issues Only->ABAP Syntax  Compiler  Runtime->GUIBIBS(BIBS for GUI Tests),SAP->BC->BC-ABA->BC-ABA-LA->GUIBIBS(BIBS,,,
<HANDLE RFC>,4,12,4,184,0.17,0,0,0.004,0,0.174,R,,CA,Cross-Application Components,Application Components->Cross-Application Components-><HANDLE RFC>(),SAP->CA-><HANDLE RFC>(),,,
PA20,4,34,14988,96,0.17,0.001,0.001,0.002,0,0.174,T,Display HR Master Data,PA,Personnel Administration,Application Components->Personnel Management->Personnel Administration->PA20(Display HR Master Data),SAP->PA->PA-PA->PA20(Display HR Master D,,,
MM02,2,134,19137,4,0.085,0.002,0.001,0,0.07935,0.16735,T,Change Material &,LO,Material Master,Application Components->Logistics - General->Logistics Basic Data->Material Master->MM02(Change Material &),SAP->LO->LO-MD->LO-MD-MM->MM02(Change Ma,,,
VL03N,2,137,24902,1632,0.085,0.002,0.001,0.036,0.04035,0.16435,T,Display Outbound Delivery,LE,Shipping,Application Components->Logistics Execution->Shipping->VL03N(Display Outbound Delivery),SAP->LE->LE-SHP->VL03N(Display Outbound,,,
RZ11,3,19,5043,64,0.127,0,0,0.001,0.03465,0.16265,T,Profile Parameter Maintenance,BC,Maintain Profile,Application Components->Basis Components->Use Subcomponents->Use Subcomponents->Maintain Profile->RZ11(Profile Parameter Maintenance),SAP->BC->BC-CCM->BC-CCM-CNF->BC-CCM-CNF-,,,
BCALV_GRID_EDIT,3,1579,159959,184,0.127,0.024,0.007,0.004,0,0.162,R,,BC,SAP List Viewer,Application Components->Basis Components->Basis Services / Communication Interfaces->SAP List Viewer->BCALV_GRID_EDIT(),SAP->BC->BC-SRV->BC-SRV-ALV->BCALV_GRID_,,,
mdm.mdg.mdproc.product.ovps1,1,3,38,1902767,0.042,0.001,0,0.018,0.10095,0.16195,F,Master Data Process Overview for Product,CA,Cross-Application Components,Application Components->Cross-Application Components->Master Data Governance->Analysis and Remediation of Data Quality->mdm.mdg.mdproc.product.ovps1(Master Data Process Overview for Product),CA-MDG-ADQ,,,
/IWFND/GW_CLIENT,3,108,152732,1096,0.127,0.002,0.007,0.024,0,0.16,T,SAP Gateway Client,OP,IWF Common Services,Application Components->Occasional Platform User->Information Worker Foundation Framework->IWF Common Services->/IWFND/GW_CLIENT(SAP Gateway Client),SAP->OPU->OPU-FND->OPU-FND-CS->/IWFND/GW,,,
VA02,1,131,110,2899800,0.042,0.054,0,0.028,0.03465,0.15865,W,Change Sales Orders,SD,Sales and Distribution,Application Components->Sales and Distribution->Sales->VA02(Change Sales Orders),SD-SLS,,,
MIRO,2,13,5422,1701,0.085,0,0,0.038,0.03465,0.15765,T,Enter Incoming Invoice,MM,Invoice Verification,Application Components->Materials Management->Invoice Verification->MIRO(Enter Incoming Invoice),SAP->MM->MM-IV->MIRO(Enter Incoming Invo,,,
XD01,1,98,37139,230,0.042,0.002,0.002,0.005,0.10515,0.15615,T,Create Customer (Centrally),LO,Customer Master,Application Components->Logistics - General->Logistics Basic Data->Business Partners->Customer Master->XD01(Create Customer (Centrally)),SAP->LO->LO-MD->LO-MD-BP->LO-MD-BP-CM->X,,,
SE11,2,31,18340,16,0.085,0,0.001,0,0.0693,0.1553,T,ABAP Dictionary Maintenance,BC,Data Dictionary Tools in ABAP Workbench,Application Components->Basis Components->ABAP Workbench  Java IDE and Infrastructure->ABAP Dictionary->Data Dictionary Tools in ABAP Workbench->SE11(ABAP Dictionary Maintenance),SAP->BC->BC-DWB->BC-DWB-DIC->BC-DWB-DIC-,,,
